html_url,stargazers_count,language,topics,description,loc,source_files,model_files,data_files,type,relation,,,
https://github.com/DeepanChakravarthiPadmanabhan/dext,12,Python,deep-learning|explainable-ai|interpretability|object-detection,Toolkit for explaining the detections of an object detector,10521,112,0,3,Application,ML-Tools,,,
https://github.com/duongcongnha/Vehicle-tracking,143,Python,,Vehicle tracking yolov5 + deepsort,6968,86,4,5,Library,Applied,,,
https://github.com/eric-ai-lab/VLMbench,60,Python,compositionality|embodied-ai|language-grounding|robotic-manipulation|vision-and-language,"NeurIPS 2022 Paper ""VLMbench: A Compositional Benchmark for Vision-and-Language Manipulation""",11956,97,0,42,Framework,"ML-Tools,Applied",,,
https://github.com/allenai/multimodalqa,95,Python,,,24218,195,0,29,Experiment,Applied,,,
https://github.com/Rondorf/BOReL,22,Python,,"Official implementation for the paper ""Offline Meta RL - Identifiability Challenges and Effective Data Collection Strategies"", NeurIPS 2021.",24248,229,0,49,"Library, Experiment",ML-Technology,,,
https://github.com/ignc-research/arena-marl,11,Python,,Multi Agent Reinforcement Learning for ROS in 2D Simulation Environments,26271,226,11,946,"Framework,Experiment","ML-Tools,Applied",,,
https://github.com/alex-moon/vc,22,Python,,,16107,225,0,26,Application,Applied,,,
https://github.com/submit-paper/Doudizhu_plus,20,Python,,,14733,122,0,1,Framework,Applied,,,
https://github.com/shighghyujie/infrared_patch_attack,10,Python,,Physically Adversarial Infrared Patches  with Learnable Shapes and Locations,5137,44,0,33,Experiment,Applied,,,
https://github.com/Sylvia-Liang/QAsparql,25,Python,,,7025,74,0,28,Application,Applied,,,
https://github.com/ArthurBernard/Fynance,21,Python,backtest|deep-learning|finance|machine-learning|neural-network|python,"Python and Cython scripts of machine learning, econometrics and statistical tools designed for finance.",82326,61,0,7,Library,Applied,,,
https://github.com/fostiropoulos/ablator,25,Python,ablation|deep-learning|machine-learning|torch,Model Ablation Tool-Kit for Deep Learning Model,5810,68,0,9,Framework,ML-Tools,,,
https://github.com/dbdq/neurodecode,42,Python,,A framework for real-time brain-machine interface,8759,76,0,34,Application,Applied,,,
https://github.com/HumanCompatibleAI/imitation,981,Python,imitation-learning|inverse-reinforcement-learning|reward-learning,Clean PyTorch implementations of imitation and reward learning algorithms,14748,131,0,29,Library,ML-Technology,,,
https://github.com/automl/nasbench301,68,Python,,,7413,110,0,82,Experiment,ML-Tools,,,
https://github.com/CPFelix/nanodet,19,Python,,,9738,145,0,44,Library,ML-Technology,,,
https://github.com/PaddlePaddle/PaddleNLP,10394,Python,bert|compression|distributed-training|document-intelligence|embedding|ernie|information-extraction|llama|llm|neural-search|nlp|paddlenlp|pretrained-models|question-answering|search-engine|semantic-analysis|sentiment-analysis|transformers|uie,"???? Easy-to-use and powerful NLP and LLM library with ???? Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including ????Text Classification,  ???? Neural Search, ??? Question Answering, ?????? Information Extraction, ???? Document Intelligence, ???? Sentiment Analysis etc.",315754,3096,0,309,Library,ML-Technology,,,
https://github.com/mlpc-ucsd/BERT_Convolutions,21,Python,,(ACL-IJCNLP 2021) Convolutions and Self-Attention: Re-interpreting Relative Positions in Pre-trained Language Models.,11188,42,0,1,"Library, Experiment",ML-Technology,,,
