html_url,description,homepage,stargazers_count,language,loc,source_files,model_files,data_files,category,,Research,Library,Toolset,Other/Unknown,Framework,System
https://github.com/hustvl/SparseTrack,Official PyTorch implementation of SparseTrack,,78,Python,12894,116,0,13,research,,59,17,4,12,4,4
https://github.com/hustvl/SparseTrack,[CVPR 2022] Accelerating Video Object Segmentation with Compressed Video,https://kai422.github.io/CoVOS/,35,Python,12141,165,2,19,research,,,,,,,
https://github.com/asrafulashiq/transfer_broad,"Pytorch Code for ""A Broad Study on the Transferability of Visual Representations with Contrastive Learning"" (ICCV 2021)",,34,Python,6171,45,0,1,research,,,,,,,
https://github.com/hal3/macarico,learning to search in pytorch,,111,Python,6074,62,0,1,framework,,,,,,,
https://github.com/drewwiens/TensorFlow-DNNs-for-Predicting-DNA-Transcription-Factor-Binding,Deep neural networks implemented in TensorFlow & Python for predicting whether transcription factors will bind to given DNA sequences,,13,Python,7027,16,0,105,research,tool,,,,,,
https://github.com/lonePatient/BERT-Attribute-Value-Extract,"A Pytorch implementation of ""Scaling Up Open Tagging from Tens to Thousands: Comprehension Empowered Attribute Value Extraction from Product Title"" (ACL 2019).",,51,Python,12120,76,0,1,research,,,,,,,
https://github.com/imdeepmind/NeuralPy,NeuralPy:  A Keras like deep learning library works on top of PyTorch,https://neuralpy.imdeepmind.com/,78,Python,5487,109,0,1,library,,,,,,,
https://github.com/CharlieDinh/FederatedLearningWithSVRG,The code in order to implement FedProx (ICPP 2020),,27,Python,5671,86,2,13,research,,,,,,,
https://github.com/LukasHedegaard/co3d,"Official source code for ""Continual 3D Convolutional Neural Networks for Real-time Processing of Videos"" [ECCV2022]",,39,Python,8331,89,0,9,research,,,,,,,
https://github.com/tetutaro/yolo_various_framework,run YOLO (object detection model) on various frameworks,,16,Python,5541,48,0,12,research,,,,,,,
https://github.com/diamour/cascade-rcnn-fpn-faster_rcnn-pytorch1.0,"This repo supports Faster R-CNN, FPN and Cascade Faster R-CNN based on pyTorch 1.0. Additionally deformable convolutional layer is also support! ",,50,Python,13025,128,0,3,research,,,,,,,
https://github.com/MVIG-SJTU/AlphaPose,Real-Time and Accurate Full-Body Multi-Person Pose Estimation&Tracking System,http://mvig.org/research/alphapose.html,7412,Python,30361,230,0,14,research,system,,,,,,
https://github.com/Audio-WestlakeU/audiossl,"A library built for easier audio self-supervised training, downstream tasks evaluation ",,41,Python,18285,227,0,4,library,,,,,,,
